"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","LocID","n","n0"
"84",6,3,78,47.5,"Yacht",2,"Ablative","Good","PN",1,1
"85",6,3,78,47.5,"Yacht",2,"Ablative","Good","IH",1,1
"86",6,3,78,47.5,"Yacht",2,"Ablative","Good","PA",1,1
"87",6,3,78,47.5,"Yacht",2,"Ablative","Good","PB",1,1
"88",6,3,78,47.5,"Yacht",2,"Ablative","Good","IW",1,1
"89",6,3,78,47.5,"Yacht",2,"Ablative","Good","PJ",2,0
"90",6,3,78,47.5,"Yacht",2,"Ablative","Good","IT",1,1
"91",6,3,78,47.5,"Yacht",2,"Ablative","Good","PM",1,1
"92",6,3,78,47.5,"Yacht",2,"Ablative","Good","IA",2,2
"93",6,3,78,47.5,"Yacht",2,"Ablative","Good","IV",1,1
"94",6,3,78,47.5,"Yacht",2,"Ablative","Good","HA",6,6
"95",6,3,78,47.5,"Yacht",2,"Ablative","Good","PE",1,1
"96",6,3,78,47.5,"Yacht",2,"Ablative","Good","HK",1,1
"97",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","PB",1,1
"98",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","IB",4,4
"99",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","PA",1,1
"100",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","HAB",1,1
"101",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","HK",2,2
"102",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","PM",1,1
"103",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","II",1,1
"104",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","HH",1,1
"105",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","IA",3,3
"106",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","PJ",2,1
"107",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","PH",1,1
"108",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","HA",4,3
"109",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","HP",2,2
"110",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","IH",1,1
"111",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","HAC",1,1
"112",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","HD",1,1
"113",7,127,174,65,"Motor cruiser",17,"Self-polishing","Poor","PN",1,1
"114",8,4,249,11.5,"Yacht",2,NA,NA,"ID",1,1
"115",8,4,249,11.5,"Yacht",2,NA,NA,"IA",2,2
"116",8,4,249,11.5,"Yacht",2,NA,NA,"HD",1,0
"117",8,4,249,11.5,"Yacht",2,NA,NA,"IB",2,1
"118",8,4,249,11.5,"Yacht",2,NA,NA,"HA",4,0
"119",8,4,249,11.5,"Yacht",2,NA,NA,"PJ",2,0
"120",8,4,249,11.5,"Yacht",2,NA,NA,"II",1,1
"121",8,4,249,11.5,"Yacht",2,NA,NA,"PA",1,0
"122",8,4,249,11.5,"Yacht",2,NA,NA,"IH",1,1
"123",8,4,249,11.5,"Yacht",2,NA,NA,"HP",2,0
"124",8,4,249,11.5,"Yacht",2,NA,NA,"HK",1,0
"125",8,4,249,11.5,"Yacht",2,NA,NA,"PB",1,0
"126",9,1,251,35,"Yacht",2,"Self-polishing",NA,"HC",1,1
"127",9,1,251,35,"Yacht",2,"Self-polishing",NA,"HP",2,0
"128",9,1,251,35,"Yacht",2,"Self-polishing",NA,"HH",1,0
"129",9,1,251,35,"Yacht",2,"Self-polishing",NA,"HK",1,0
"130",9,1,251,35,"Yacht",2,"Self-polishing",NA,"PA",1,0
"131",9,1,251,35,"Yacht",2,"Self-polishing",NA,"IA",3,3
"132",9,1,251,35,"Yacht",2,"Self-polishing",NA,"HA",4,0
"133",9,1,251,35,"Yacht",2,"Self-polishing",NA,"HD",1,0
"134",9,1,251,35,"Yacht",2,"Self-polishing",NA,"PJ",2,0
"135",9,1,251,35,"Yacht",2,"Self-polishing",NA,"PB",1,0
"136",9,1,251,35,"Yacht",2,"Self-polishing",NA,"IB",6,4
"137",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PF",1,1
"138",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PM",1,1
"139",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","ID",1,1
"140",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","IW",1,1
"141",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","HP",2,2
"142",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","IF",2,2
"143",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","HAC",1,1
"144",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PA",1,1
"145",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","HA",4,4
"146",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","IH",1,1
"147",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PJ",2,2
"148",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","IB",2,2
"149",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","HAB",3,3
