"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","wetWeight","LocID","Location","LocCode","samLab","wetWeight1","wetWeight2"
"48",2,8,305,8.5,"Yacht",2,"Ablative","Good",30.1,"HA","Wet Hull",1,"Hull 6 port",TRUE,FALSE
"49",2,8,305,8.5,"Yacht",2,"Ablative","Good",52.7,"HK","Wet Hull",1,"Paddle wheel",TRUE,FALSE
"50",2,8,305,8.5,"Yacht",2,"Ablative","Good",83.92,"IB","Internal spaces",1,"Hull inlet/outlet P4 (Depth sounder)",TRUE,FALSE
"51",2,8,305,8.5,"Yacht",2,"Ablative","Good",217.4,"PA","Propeller",2,"Propeller shaft",TRUE,FALSE
"52",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"ID","Internal spaces",3,"Bilge intake, external opening S2 (water)",FALSE,TRUE
"53",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"ID","Internal spaces",3,NA,FALSE,TRUE
"54",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"IH","Internal spaces",3,NA,FALSE,TRUE
"55",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"IQ","Internal spaces",3,NA,FALSE,TRUE
"56",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"IV","Internal spaces",3,NA,FALSE,TRUE
"57",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"IW","Internal spaces",3,NA,FALSE,TRUE
"58",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"PA","Propeller",2,NA,FALSE,TRUE
"59",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"PB","Propeller",2,NA,FALSE,TRUE
"60",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"PM","Anchor",2,NA,FALSE,TRUE
"61",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"PN","Anchor",2,NA,FALSE,TRUE
"62",3,69,328,30.5,"Motor cruiser",17,NA,NA,0,"IA","Internal spaces",3,"Shower water port",FALSE,TRUE
"63",3,69,328,30.5,"Motor cruiser",17,NA,NA,0.5,"IA","Internal spaces",3,"Toilet water port 1",FALSE,TRUE
"64",3,69,328,30.5,"Motor cruiser",17,NA,NA,1.8,"IB","Internal spaces",3,"Shower external 2",TRUE,FALSE
"65",3,69,328,30.5,"Motor cruiser",17,NA,NA,4.2,"IB","Internal spaces",3,"Bilge intake, external opening S2 (scrape)",TRUE,FALSE
"66",3,69,328,30.5,"Motor cruiser",17,NA,NA,4.91,"IB","Internal spaces",3,"Toilet fouling port 1",TRUE,FALSE
"67",3,69,328,30.5,"Motor cruiser",17,NA,NA,7.2,"PJ","Rudder",2,"Rudder starboard",TRUE,FALSE
"68",3,69,328,30.5,"Motor cruiser",17,NA,NA,9,"IB","Internal spaces",3,"IO Starboard 1",TRUE,FALSE
"69",3,69,328,30.5,"Motor cruiser",17,NA,NA,9.19,"HH","Wet Hull",1,"Transducer mount starboard",TRUE,FALSE
"70",3,69,328,30.5,"Motor cruiser",17,NA,NA,9.2,"PG","Propeller",2,"Stern tubes",TRUE,FALSE
"71",3,69,328,30.5,"Motor cruiser",17,NA,NA,17.4,"PJ","Rudder",2,"Rudder port",TRUE,FALSE
"72",3,69,328,30.5,"Motor cruiser",17,NA,NA,37.8,"HP","Wet Hull",1,"Hull #5 port midship keel",TRUE,FALSE
"73",3,69,328,30.5,"Motor cruiser",17,NA,NA,41.83,"HK","Wet Hull",1,"Paddle wheel starboard",TRUE,FALSE
"74",3,69,328,30.5,"Motor cruiser",17,NA,NA,42.96,"HD","Wet Hull",1,"Engine cooling external port",TRUE,FALSE
"75",3,69,328,30.5,"Motor cruiser",17,NA,NA,44.21,"HA","Wet Hull",1,"Hull #1 starboard stern",TRUE,FALSE
"76",3,69,328,30.5,"Motor cruiser",17,NA,NA,45.46,"HH","Wet Hull",1,"Transducer mount port",TRUE,FALSE
"77",3,69,328,30.5,"Motor cruiser",17,NA,NA,57.5,"HA","Wet Hull",1,"Hull #6 port stern",TRUE,FALSE
"78",3,69,328,30.5,"Motor cruiser",17,NA,NA,60.4,"HP","Wet Hull",1,"Hull #2 starboard midship keel",TRUE,FALSE
"79",3,69,328,30.5,"Motor cruiser",17,NA,NA,83.4,"HA","Wet Hull",1,"Hull #4 port bow",TRUE,FALSE
"80",3,69,328,30.5,"Motor cruiser",17,NA,NA,101.2,"HX","Wet Hull",1,"Garboard plank - 1m section of flat bottom",TRUE,FALSE
"81",3,69,328,30.5,"Motor cruiser",17,NA,NA,109.8,"HA","Wet Hull",1,"Hull #3 starboard bow",TRUE,FALSE
"82",3,69,328,30.5,"Motor cruiser",17,NA,NA,116.3,"HAB","Wet Hull",1,"Anode port stern",TRUE,FALSE
"83",4,NA,192,NA,"Motor cruiser",17,NA,NA,0,"DA","Deck",4,NA,FALSE,TRUE
"84",4,NA,192,NA,"Motor cruiser",17,NA,NA,0,"IH","Internal spaces",3,NA,FALSE,TRUE
"85",4,NA,192,NA,"Motor cruiser",17,NA,NA,0,"II","Internal spaces",3,NA,FALSE,TRUE
"86",4,NA,192,NA,"Motor cruiser",17,NA,NA,0,"PM","Anchor",2,NA,FALSE,TRUE
